From Point,To Point,Distance (km),Fare (BDT),,,,,,,,,,,,,,,
Airport,Chandra,35.3,86,,,,,,,,,,,,,,,
Airport,Cheragali,7,17,,,,,,,,,,,,,,,
Airport,Chowrasta,17,42,,,,,,,,,,,,,,,
Airport,Dhour,9.2,23,,,,,,,,,,,,,,,
Airport,Diabari,6.5,16,,,,,,,,,,,,,,,
Airport,Fantasy Kingdom,18.7,46,,,,,,,,,,,,,,,
Airport,Farmgate,12,29,,,,,,,,,,,,,,,
Airport,Gazipur,18.7,46,,,,,,,,,,,,,,,
Airport,Hotapara,32.5,80,,,,,,,,,,,,,,,
Airport,House Building,2.8,10,,,,,,,,,,,,,,,
Airport,Jatrabari,18.8,46,,,,,,,,,,,,,,,
Airport,Kakoli,7.5,18,,,,,,,,,,,,,,,
Airport,Kakrail,14.5,36,,,,,,,,,,,,,,,
Airport,Kamarpara,5.9,14,,,,,,,,,,,,,,,
Airport,Kanchpur Bridge,29.5,72,,,,,,,,,,,,,,,
Airport,Kapashia,46.2,113,,,,,,,,,,,,,,,
Airport,Keraniganj New Jail,26.8,66,,,,,,,,,,,,,,,
Airport,Khilgaon Flyover,16.2,40,,,,,,,,,,,,,,,
Airport,Khilkhet,2.8,10,,,,,,,,,,,,,,,
Airport,Konabari,25,61,,,,,,,,,,,,,,,
Airport,Kuril,3.8,10,,,,,,,,,,,,,,,
Airport,Kuril Biswaroad,3.8,10,,,,,,,,,,,,,,,
Airport,Madanpur,29.9,73,,,,,,,,,,,,,,,
Airport,Malibagh,12.7,31,,,,,,,,,,,,,,,
Airport,Maniknagar,16.4,40,,,,,,,,,,,,,,,
Airport,Maona Chowrasta,40.2,98,,,,,,,,,,,,,,,
Airport,Meradia Bazar,13.4,33,,,,,,,,,,,,,,,
Airport,Mogbazar,15.6,38,,,,,,,,,,,,,,,
Airport,Mohakhali,8,20,,,,,,,,,,,,,,,
Airport,Nabinagar,22.7,56,,,,,,,,,,,,,,,
Airport,Nabisco,11.4,28,,,,,,,,,,,,,,,
Airport,Nandan Park,32.3,79,,,,,,,,,,,,,,,
Airport,Notre Dame College,19.3,47,,,,,,,,,,,,,,,
Airport,Notun Bazar,6.4,16,,,,,,,,,,,,,,,
Airport,Paltan,15.3,37,,,,,,,,,,,,,,,
Airport,Fulbaria,19.8,49,,,,,,,,,,,,,,,
Airport,Postogola,22.8,56,,,,,,,,,,,,,,,
Airport,Press Club,16.6,41,,,,,,,,,,,,,,,
Airport,Rajabari,39,96,,,,,,,,,,,,,,,
Airport,Rajendrapur,28.8,71,,,,,,,,,,,,,,,
Airport,Rajendrapur Bazar,34.2,84,,,,,,,,,,,,,,,
Airport,Rampura,10.3,25,,,,,,,,,,,,,,,
Airport,Rampura Bridge,10.4,25,,,,,,,,,,,,,,,
Airport,Safipur,31,76,,,,,,,,,,,,,,,
Airport,Sayedabad,18.8,46,,,,,,,,,,,,,,,
Airport,Shahbag,14.8,36,,,,,,,,,,,,,,,
Airport,Sign Board,23.8,58,,,,,,,,,,,,,,,
Airport,Sreepur,50.8,124,,,,,,,,,,,,,,,
Airport,Staff Quarter,19.9,49,,,,,,,,,,,,,,,
Airport,Staff Road,5.7,14,,,,,,,,,,,,,,,
Airport,Sultana Kamal Bridge,21.9,54,,,,,,,,,,,,,,,
Airport,TT Para,17.9,44,,,,,,,,,,,,,,,
Airport,Tarabo,23.9,59,,,,,,,,,,,,,,,
Airport,Tongi,4.1,10,,,,,,,,,,,,,,,
Airport,Tongi Bastuhara,8.7,21,,,,,,,,,,,,,,,
Airport,Tongi Bazar,4,10,,,,,,,,,,,,,,,
Airport,Uttara Jashimuddin,3,10,,,,,,,,,,,,,,,
Airport,Zirabo,14.4,35,,,,,,,,,,,,,,,
Amin Bazar,Savar,12,29,,,,,,,,,,,,,,,
Demra Staff Quarter,Banasree,8,20,,,,,,,,,,,,,,,
Demra Staff Quarter,Gabtoli,29.2,72,,,,,,,,,,,,,,,
Demra Staff Quarter,Gulshan 1,14.3,35,,,,,,,,,,,,,,,
Demra Staff Quarter,Mirpur 1,26.1,64,,,,,,,,,,,,,,,
Demra Staff Quarter,Mirpur 10,24.2,59,,,,,,,,,,,,,,,
Demra Staff Quarter,Mohakhali,16.7,41,,,,,,,,,,,,,,,
Demra Staff Quarter,Savar,43,105,,,,,,,,,,,,,,,
Ansar Camp,Asad Gate,4.5,11,,,,,,,,,,,,,,,
Ansar Camp,BUET,10.3,25,,,,,,,,,,,,,,,
Ansar Camp,Bangladesh Bank,12.8,31,,,,,,,,,,,,,,,
Ansar Camp,College Gate,3.6,10,,,,,,,,,,,,,,,
Ansar Camp,Darussalam,1.1,10,,,,,,,,,,,,,,,
Ansar Camp,Farmgate,6.3,15,,,,,,,,,,,,,,,
Ansar Camp,Golap Shah Mazar,11.5,28,,,,,,,,,,,,,,,
Ansar Camp,Gulistan,12,29,,,,,,,,,,,,,,,
Ansar Camp,Ittefaq Moor,14.5,36,,,,,,,,,,,,,,,
